FileType=PCF
NHL=14
Date=03/12/19	14:49:56
Facility=APL
Serial=16071-1
Customer=NASA
NP=6
Mach=0.080000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  8.487	-123.723	  3.07252	  0.75617	  1.81466	  0.61812	  1.93966	 -0.03293	  3.16525	711.59998	 23.30	
  8.495	-135.039	  3.06966	  0.64320	  1.94922	  0.71171	  1.81532	 -0.02941	  3.16485	711.21997	 23.30	
  8.494	-146.194	  3.06897	  0.55706	  2.05718	  0.82794	  1.67308	 -0.03157	  3.16604	711.65002	 23.30	
  8.502	-157.493	  3.06701	  0.49689	  2.13430	  0.96662	  1.51577	 -0.03442	  3.16376	711.65002	 23.30	
  8.491	-168.704	  3.06924	  0.46354	  2.18030	  1.12259	  1.34938	 -0.03298	  3.16529	711.59003	 23.30	
  8.500	180.000	  3.06942	  0.45350	  2.19156	  1.28550	  1.18524	 -0.03257	  3.16569	711.59998	 23.30	
 10.200	180.000	  3.01487	  0.26756	  2.33140	  1.24803	  1.12925	 -0.05937	  3.16518	711.54999	 23.30	
 10.191	-170.497	  3.01477	  0.27673	  2.32220	  1.08294	  1.29839	 -0.06158	  3.16567	711.53003	 23.30	
 10.210	-161.034	  3.01472	  0.29994	  2.28850	  0.92196	  1.46753	 -0.06187	  3.16634	711.60999	 23.30	
 10.194	-151.526	  3.01312	  0.35068	  2.21834	  0.77683	  1.62984	 -0.05751	  3.16396	711.56000	 23.30	
 10.190	-142.105	  3.01672	  0.42172	  2.12607	  0.64860	  1.78399	 -0.05706	  3.16571	711.67999	 23.30	
 10.215	-132.646	  3.01596	  0.51559	  2.00485	  0.53597	  1.92823	 -0.05736	  3.16530	711.58002	 23.30	
 10.203	-123.092	  3.01711	  0.62803	  1.86419	  0.44473	  2.04979	 -0.06005	  3.16357	711.53003	 23.30	
 10.192	-113.678	  3.02019	  0.75646	  1.71299	  0.37793	  2.14543	 -0.06015	  3.16478	711.63000	 23.30	
 10.208	-104.249	  3.02326	  0.89924	  1.55243	  0.33121	  2.21666	 -0.05833	  3.16547	711.65002	 23.40	
 10.210	-94.801	  3.02690	  1.05527	  1.38390	  0.30586	  2.25964	 -0.05606	  3.16673	710.94000	 23.40	
 10.210	-85.199	  3.03035	  1.22038	  1.21621	  0.30018	  2.27126	 -0.05544	  3.16581	711.57001	 23.30	
 10.208	-75.751	  3.03084	  1.38848	  1.05396	  0.31536	  2.25075	 -0.05787	  3.16454	711.53003	 23.30	
 10.192	-66.322	  3.03419	  1.55558	  0.90395	  0.35483	  2.19901	 -0.05532	  3.16407	711.13000	 23.40	
 10.203	-56.908	  3.03789	  1.71363	  0.76682	  0.41146	  2.12155	 -0.05213	  3.16478	711.50000	 23.30	
 10.215	-47.354	  3.04323	  1.86574	  0.64778	  0.49537	  2.01601	 -0.04767	  3.16794	711.53998	 23.40	
 10.190	-37.895	  3.04512	  1.99403	  0.54859	  0.60255	  1.88218	 -0.04569	  3.16353	710.95001	 23.40	
 10.194	-28.474	  3.04767	  2.10367	  0.47034	  0.72468	  1.73700	 -0.04155	  3.16453	711.60999	 23.40	
 10.210	-18.966	  3.04988	  2.18843	  0.40847	  0.85989	  1.58010	 -0.03531	  3.16622	710.82001	 23.30	
 10.191	 -9.503	  3.05375	  2.24083	  0.37317	  1.01211	  1.41311	 -0.02718	  3.16623	711.42999	 23.40	
 10.200	  0.000	  3.05226	  2.26179	  0.35262	  1.17285	  1.24347	 -0.02050	  3.16364	711.48999	 23.40	
 10.191	  9.503	  3.05581	  2.25328	  0.35858	  1.33923	  1.08060	 -0.01745	  3.16501	711.58002	 23.40	
 10.210	 18.966	  3.05645	  2.21572	  0.38223	  1.50947	  0.92178	 -0.01288	  3.16561	710.94000	 23.40	
 10.194	 28.474	  3.05561	  2.14625	  0.43083	  1.67550	  0.77797	 -0.00939	  3.16626	711.59998	 23.40	
 10.190	 37.895	  3.05286	  2.04903	  0.49659	  1.82682	  0.64831	 -0.00943	  3.16369	711.59003	 23.40	
 10.215	 47.354	  3.05239	  1.93005	  0.58901	  1.96817	  0.53542	 -0.01274	  3.16596	711.53998	 23.40	
 10.203	 56.908	  3.05059	  1.78742	  0.70144	  2.08984	  0.44162	 -0.01588	  3.16675	711.53003	 23.40	
 10.192	 66.322	  3.04797	  1.63442	  0.82798	  2.18233	  0.37083	 -0.02088	  3.16649	711.51001	 23.40	
 10.208	 75.751	  3.04423	  1.46855	  0.97205	  2.25162	  0.31664	 -0.02330	  3.16510	711.58002	 23.40	
 10.210	 85.199	  3.04428	  1.30095	  1.12852	  2.29022	  0.28897	 -0.02474	  3.16716	711.63000	 23.40	
 10.210	 94.801	  3.04013	  1.13063	  1.29446	  2.29616	  0.28036	 -0.03354	  3.16671	711.52002	 23.40	
 10.208	104.249	  3.03519	  0.96942	  1.46009	  2.27269	  0.29096	 -0.04026	  3.16637	711.46002	 23.40	
 10.192	113.678	  3.03177	  0.81782	  1.62578	  2.21514	  0.32628	 -0.04391	  3.16489	711.58002	 23.40	
 10.203	123.092	  3.02685	  0.68373	  1.78214	  2.13288	  0.38403	 -0.04658	  3.16414	711.08002	 23.40	
 10.215	132.646	  3.02698	  0.55950	  1.93512	  2.02357	  0.46454	 -0.04931	  3.16613	711.46997	 23.40	
 10.190	142.105	  3.02133	  0.45855	  2.06331	  1.88732	  0.56724	 -0.05220	  3.16352	711.40997	 23.40	
 10.194	151.526	  3.01895	  0.37779	  2.17046	  1.74125	  0.68477	 -0.05543	  3.16434	711.50000	 23.40	
 10.210	161.034	  3.01812	  0.31947	  2.25625	  1.58095	  0.82208	 -0.05863	  3.16576	711.46997	 23.40	
 10.191	170.497	  3.01586	  0.28221	  2.30821	  1.41240	  0.97227	 -0.06010	  3.16472	711.45001	 23.40	
 11.899	171.783	  2.94890	  0.09692	  2.44007	  1.36694	  0.91000	 -0.08621	  3.16545	711.46997	 23.40	
 11.890	163.610	  2.95246	  0.12856	  2.39287	  1.53806	  0.75657	 -0.08836	  3.16768	711.53003	 23.40	
 11.889	155.445	  2.95636	  0.18162	  2.31771	  1.70210	  0.61919	 -0.08785	  3.16688	711.51001	 23.40	
 11.909	147.299	  2.95642	  0.24832	  2.22181	  1.85943	  0.49285	 -0.08640	  3.16681	710.95001	 23.40	
 11.902	139.148	  2.95946	  0.33343	  2.10339	  2.00300	  0.38203	 -0.08344	  3.16578	711.47998	 23.40	
 11.894	130.867	  2.96031	  0.43786	  1.96359	  2.13370	  0.28481	 -0.07931	  3.16459	711.41998	 23.40	
 11.897	122.732	  2.96508	  0.56037	  1.81360	  2.24187	  0.21250	 -0.07577	  3.16557	711.52002	 23.40	
 11.903	114.597	  2.97108	  0.69546	  1.65578	  2.32648	  0.15921	 -0.07513	  3.16841	711.54999	 23.40	
 11.893	106.346	  2.97198	  0.84429	  1.48659	  2.38510	  0.12083	 -0.07163	  3.16482	711.42999	 23.40	
 11.892	 98.155	  2.97614	  1.00493	  1.31438	  2.42096	  0.09979	 -0.06841	  3.16411	711.47998	 23.40	
 11.900	 90.000	  2.97904	  1.17033	  1.14867	  2.42931	  0.09752	 -0.06092	  3.16527	711.47998	 23.40	
 11.892	 81.845	  2.98106	  1.33774	  0.98781	  2.40698	  0.11454	 -0.05590	  3.16498	711.48999	 23.40	
 11.893	 73.654	  2.98570	  1.50880	  0.83500	  2.36059	  0.14997	 -0.05228	  3.16546	711.46002	 23.40	
 11.903	 65.403	  2.98694	  1.67661	  0.69224	  2.28709	  0.20373	 -0.04935	  3.16489	711.52002	 23.40	
 11.897	 57.268	  2.99040	  1.83127	  0.56692	  2.19283	  0.27297	 -0.04612	  3.16532	711.46002	 23.40	
 11.894	 49.133	  2.99314	  1.97580	  0.45568	  2.07461	  0.36040	 -0.04311	  3.16586	711.48999	 23.40	
 11.902	 40.852	  2.99538	  2.10799	  0.35973	  1.93511	  0.46914	 -0.03843	  3.16658	711.52002	 23.40	
 11.909	 32.701	  2.99714	  2.21533	  0.28538	  1.78222	  0.59294	 -0.03704	  3.16637	711.52002	 23.40	
